Time-date,time,T_cmb0,deltaT0,r_i,X_Mg_0,X_Si_0,X_O_0,fraction_MgFe_b,X_MgFeO_b,X_SiO2_b,nu_present,layer_thickness,overturn
2018-02-18,15:19:25.929249,5000,2800,3480000,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:20:05.490505,5250,2800,3480000,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:21:04.035910,5500,2800,3480000,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:22:07.781447,5750,2800,3462209.0790935,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:23:15.647090,6000,2800,3355851.00367566,1E-05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:24:43.165990,5000,2800,3480000,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:25:54.386476,5250,2800,3480000,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:26:33.786152,5500,2800,3476650.65258541,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:27:12.769039,5750,2800,3392417.76053914,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:27:50.709017,6000,2800,3296850.17439681,1E-05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:28:40.012055,5000,2800,3480000,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:29:26.723571,5250,2800,3480000,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:30:08.757806,5500,2800,3454323.17062101,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:31:19.859508,5750,2800,3367353.05919957,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:32:42.955957,6000,2800,3273683.10215277,1E-05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:34:18.598032,5000,2800,3480000,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:36:13.599733,5250,2800,3480000,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:37:41.213762,5500,2800,3415018.94992895,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:39:10.686259,5750,2800,3318770.85981788,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:40:32.345905,6000,2800,3223213.3140706,1E-05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:41:20.341552,5000,2800,3318770.85981788,0.01,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:42:34.490990,5250,2800,3480000,0.01,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:43:22.379381,5500,2800,3480000,0.01,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:43:59.508404,5750,2800,3363397.98006058,0.01,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:44:34.967977,6000,2800,3239626.87681611,0.01,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:45:23.190130,5000,2800,3479533.35833784,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:46:15.153560,5250,2800,3452948.30218741,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:47:10.325161,5500,2800,3480000,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:47:59.326208,5750,2800,3480000,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:48:46.199573,6000,2800,3476481.67961835,0.01,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:49:45.569166,5000,2800,3480000,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:50:35.145233,5250,2800,3429190.43243155,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:51:21.405303,5500,2800,3473739.61270647,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:52:17.232481,5750,2800,3480000,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:53:06.884234,6000,2800,3480000,0.01,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:54:05.495039,5000,2800,3480000,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:54:51.324571,5250,2800,3386988.07957543,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:55:36.630153,5500,2800,3400274.98917023,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:56:21.824364,5750,2800,3446163.73486175,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:57:04.280007,6000,2800,3475599.33373996,0.01,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:57:42.350465,5000,2800,3480000,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:58:19.196251,5250,2800,3401943.95920201,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:58:52.631084,5500,2800,3233791.73069022,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,15:59:46.041787,5750,2800,3376703.41516605,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:00:21.052045,6000,2800,3213266.03942096,0.025,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:01:25.100200,5000,2800,3480000,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:02:19.370618,5250,2800,3342404.60531621,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:03:03.518948,5500,2800,3134078.89298634,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:03:48.285414,5750,2800,3392262.569106,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:04:28.648342,6000,2800,3418625.8564933,0.025,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:05:32.386918,5000,2800,3480000,0.025,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:06:26.218105,5250,2800,3281128.77089337,0.025,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:07:12.390084,5500,2800,3065126.82374725,0.025,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:07:57.732297,5750,2800,3373627.41414578,0.025,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:08:38.366285,6000,2800,3449097.11702265,0.025,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:09:41.249245,5000,2800,3480000,0.025,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:10:29.860102,5250,2800,3246290.90976864,0.025,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:11:18.151423,5500,2800,3043439.50783824,0.025,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:12:04.296669,5750,2800,3297592.84128179,0.025,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:12:49.035685,6000,2800,3453923.91752942,0.025,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:13:39.603943,5000,2800,3480000,0.05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:14:20.247416,5250,2800,3446001.87346206,0.05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:15:02.749145,5500,2800,3257796.70149168,0.05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:15:41.990759,5750,2800,3037493.17305983,0.05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:16:28.717566,6000,2800,2857371.22955131,0.05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:17:31.627480,5000,2800,3480000,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:18:12.361058,5250,2800,3408263.34959854,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:18:50.318723,5500,2800,3208091.27221868,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:19:25.575817,5750,2800,2958833.69223048,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:20:00.570301,6000,2800,2748674.90128377,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:20:52.473329,5000,2800,3480000,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:21:32.025360,5250,2800,3334187.75709798,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:22:10.913530,5500,2800,3146070.52529992,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:22:43.327543,5750,2800,2833664.01620734,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:23:20.164118,6000,2800,2697587.17738005,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:24:09.561434,5000,2800,3480000,0.05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:24:50.541331,5250,2800,3263200.51835998,0.05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:25:24.311210,5500,2800,3015812.25719964,0.05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:25:57.895485,5750,2800,2718448.23553927,0.05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:26:32.207186,6000,2800,2693370.16104462,0.05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800
2018-02-18,16:27:07.592048,5000,2800,2911611.18335167,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:27:41.484281,5250,2800,2722676.76206259,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:28:09.631351,5500,2800,2518984.31556334,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:28:40.611358,5750,2800,2300427.81313979,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:29:11.915797,6000,2800,2063255.90738676,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:29:51.895095,5000,2800,2800720.91264325,1E-05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:30:32.818028,5250,2800,2601710.09870828,1E-05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:31:14.984762,5500,2800,2399404.49954722,1E-05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:31:50.840237,5750,2800,2189285.08678163,1E-05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:32:32.780599,6000,2800,1965625.34405934,1E-05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:33:29.670001,5000,2800,2802193.69911457,1E-05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:34:08.836497,5250,2800,2582363.20931838,1E-05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:34:46.525529,5500,2800,2367420.30882555,1E-05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:35:24.288941,5750,2800,2151321.07946323,1E-05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:35:57.944523,6000,2800,1926593.48384487,1E-05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:36:37.665659,5000,2800,2809580.17505348,1E-05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:37:19.286603,5250,2800,2572141.51083404,1E-05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:38:05.232264,5500,2800,2343860.30809939,1E-05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:38:43.046900,5750,2800,2118957.80582887,1E-05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:39:22.107766,6000,2800,1883985.65385158,1E-05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:39:46.341399,5000,2800,2719951.90104676,0.01,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:40:30.653554,5250,2800,2686991.25642717,0.01,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:40:55.664568,5500,2800,2441330.29252115,0.01,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:41:18.299593,5750,2800,2173660.60263594,0.01,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:41:39.115843,6000,2800,1885341.64118775,0.01,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:42:07.963172,5000,2800,2635018.21897304,0.01,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:42:35.579058,5250,2800,2383067.40390221,0.01,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:43:01.513052,5500,2800,2289596.7041295,0.01,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:43:26.785399,5750,2800,2144077.52904731,0.01,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:43:49.897072,6000,2800,1989160.35026329,0.01,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:44:23.899818,5000,2800,2640656.79766053,0.01,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:44:52.489169,5250,2800,2372483.06561354,0.01,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:45:17.228717,5500,2800,2210005.33460769,0.01,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:45:39.711865,5750,2800,2072263.4287636,0.01,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:46:02.549703,6000,2800,1941860.26717707,0.01,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:46:50.819840,5000,2800,2665229.19287173,0.01,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:47:19.837019,5250,2800,2350367.5241908,0.01,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:47:46.754166,5500,2800,2140707.55350933,0.01,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:48:13.007988,5750,2800,2008944.00902036,0.01,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:48:38.106182,6000,2800,1891579.43653505,0.01,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:49:13.813984,5000,2800,2727273.55260332,0.025,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:49:40.587058,5250,2800,2424682.09612965,0.025,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:50:03.204047,5500,2800,2078422.61429801,0.025,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:50:38.635228,5750,2800,2191231.66769017,0.025,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:51:06.445241,6000,2800,1847506.76036792,0.025,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:51:46.922683,5000,2800,2667896.90937279,0.025,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:52:20.769661,5250,2800,2330856.34714515,0.025,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:52:54.779559,5500,2800,1910256.92325329,0.025,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:53:23.689799,5750,2800,1892276.91745598,0.025,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:53:51.908605,6000,2800,1805421.99748391,0.025,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:54:32.314192,5000,2800,2644379.62689412,0.025,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:55:09.452028,5250,2800,2269449.01925284,0.025,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:55:37.312808,5500,2800,1810585.38587301,0.025,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:56:03.612370,5750,2800,1798439.15283167,0.025,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:56:27.433583,6000,2800,1750301.43293563,0.025,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:57:11.675077,5000,2800,2643252.57597124,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:57:48.988079,5250,2800,2232425.56865725,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:58:17.635499,5500,2800,1765115.94066371,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:58:44.061598,5750,2800,1701723.67809787,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:59:07.324917,6000,2800,1709829.33489422,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:59:38.310909,5000,2800,2764517.16431469,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:00:03.456850,5250,2800,2472407.94665507,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:00:28.729719,5500,2800,2107875.30725465,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:00:55.106769,5750,2800,1605363.49756966,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:01:19.357561,6000,2800,872338.001484404,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:02:11.452900,5000,2800,2714027.6374191,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:02:52.593426,5250,2800,2404042.15994545,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:03:27.872035,5500,2800,2011903.6350864,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:04:00.548259,5750,2800,1428610.74992295,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:04:22.499927,6000,2800,0,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:05:05.400169,5000,2800,2677976.56680633,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:05:45.696794,5250,2800,2330721.79192982,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:06:22.286651,5500,2800,1945900.54986859,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:06:52.350719,5750,2800,1189452.66392711,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:07:12.501412,6000,2800,0,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:07:55.690756,5000,2800,2641785.53740101,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:08:35.960940,5250,2800,2248824.3609211,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:09:09.063016,5500,2800,1756630.86001354,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:09:36.860907,5750,2800,878342.853434264,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:09:57.555849,6000,2800,0,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:10:32.181468,5000,2800,2135139.19183107,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:11:04.210613,5250,2800,1754161.84358052,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:11:34.747729,5500,2800,1242583.61693972,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:11:59.938207,5750,2800,0,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:12:21.800965,6000,2800,0,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:12:59.085206,5000,2800,1991916.28793738,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:13:35.833227,5250,2800,1552968.76056879,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:14:09.206480,5500,2800,883599.152726922,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:14:33.881889,5750,2800,0,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:15:01.019578,6000,2800,0,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:15:41.521249,5000,2800,1988446.07552495,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:16:13.026146,5250,2800,1510045.07335283,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:16:44.730712,5500,2800,734905.150665052,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
